0,1,7,9
0,1,7,24
0,1,7,39
0,1,7,54
0,1,8,9
0,1,8,24
0,1,8,39
0,1,8,54
0,1,9,9
0,1,9,29
0,1,9,49
0,1,10,9
0,1,10,29
0,1,10,49
0,1,11,9
0,1,11,29
0,1,11,49
0,1,12,9
0,1,12,29
0,1,12,49
0,1,13,9
0,1,13,29
0,1,13,49
0,1,14,9
0,1,14,29
0,1,14,49
0,1,15,9
0,1,15,29
0,1,15,49
0,1,16,9
0,1,16,29
0,1,16,49
0,1,17,9
0,1,17,29
0,1,17,49
0,1,18,9
0,1,18,29
0,1,18,49
0,1,19,9
0,1,19,29
0,1,19,49
0,1,20,9
0,2,6,41
0,2,7,0
0,2,7,10
0,2,7,20
0,2,7,30
0,2,7,40
0,2,7,50
0,2,8,0
0,2,8,10
0,2,8,20
0,2,8,30
0,2,8,38
0,2,8,47
0,2,9,5
0,2,9,23
0,2,9,43
0,2,10,3
0,2,10,23
0,2,10,43
0,2,11,3
0,2,11,23
0,2,11,43
0,2,12,3
0,2,12,23
0,2,12,43
0,2,13,3
0,2,13,23
0,2,13,43
0,2,14,3
0,2,14,23
0,2,14,43
0,2,15,3
0,2,15,23
0,2,15,43
0,2,16,3
0,2,16,23
0,2,16,43
0,2,17,3
0,2,17,23
0,2,17,43
0,2,18,3
0,2,18,23
0,2,18,43
0,2,19,3
0,2,19,23
0,2,19,43
0,2,20,2
0,2,20,19
0,2,20,36
0,2,20,53
0,2,21,10
0,2,21,27
1,2,6,25
1,2,6,45
1,2,6,55
1,2,7,5
1,2,7,15
1,2,7,25
1,2,7,35
1,2,7,45
1,2,7,55
1,2,8,5
1,2,8,15
1,2,8,25
1,2,8,35
1,2,8,52
1,2,9,10
1,2,9,28
1,2,9,48
1,2,10,8
1,2,10,28
1,2,10,48
1,2,11,8
1,2,11,28
1,2,11,48
1,2,12,8
1,2,12,28
1,2,12,48
1,2,13,28
1,2,14,8
1,2,14,48
1,2,15,28
1,2,16,8
1,2,16,48
1,2,17,28
1,2,18,8
